Disease_Curie	Disease_Name	Gene_Curie	Gene_Name
ORPHANET:209932	Cone dystrophy with supernormal rod response	ENSEMBL:ENSG00000168263	potassium voltage-gated channel modifier subfamily V member 2
ORPHANET:209370	Severe neonatal-onset encephalopathy with microcephaly	ENSEMBL:ENSG00000169057	methyl-CpG binding protein 2
ORPHANET:209867	Autosomal dominant rhegmatogenous retinal detachment	ENSEMBL:ENSG00000139219	collagen type II alpha 1 chain
ORPHANET:210571	Dystonia 16	ENSEMBL:ENSG00000180228	protein activator of interferon induced protein kinase EIF2AK2
ORPHANET:210163	Congenital lethal myopathy, Compton-North type	ENSEMBL:ENSG00000018236	contactin 1
ORPHANET:210144	Lethal polymalformative syndrome, Boissel type	ENSEMBL:ENSG00000140718	FTO alpha-ketoglutarate dependent dioxygenase
ORPHANET:1063	Tufted angioma	ENSEMBL:ENSG00000156049	G protein subunit alpha 14
ORPHANET:211067	Episodic ataxia type 5	ENSEMBL:ENSG00000182389	calcium voltage-gated channel auxiliary subunit beta 4
ORPHANET:2122	Kaposiform hemangioendothelioma	ENSEMBL:ENSG00000156049	G protein subunit alpha 14
ORPHANET:220	Denys-Drash syndrome	ENSEMBL:ENSG00000184937	WT1 transcription factor
ORPHANET:5	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	ENSEMBL:ENSG00000084754	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
ORPHANET:25	Glutaryl-CoA dehydrogenase deficiency	ENSEMBL:ENSG00000105607	glutaryl-CoA dehydrogenase
ORPHANET:818	Smith-Lemli-Opitz syndrome	ENSEMBL:ENSG00000172893	7-dehydrocholesterol reductase
ORPHANET:213504	Adenocarcinoma of ovary	ENSEMBL:ENSG00000122641	inhibin subunit beta A
ORPHANET:175	Cartilage-hair hypoplasia	ENSEMBL:ENSG00000277027	RNA component of mitochondrial RNA processing endoribonuclease
ORPHANET:42	Medium chain acyl-CoA dehydrogenase deficiency	ENSEMBL:ENSG00000117054	acyl-CoA dehydrogenase medium chain
ORPHANET:2066	Gamma-aminobutyric acid transaminase deficiency	ENSEMBL:ENSG00000183044	4-aminobutyrate aminotransferase
ORPHANET:2849	Perlman syndrome	ENSEMBL:ENSG00000144535	DIS3 like 3'-5' exoribonuclease 2
ORPHANET:747	Autoimmune pulmonary alveolar proteinosis	ENSEMBL:ENSG00000196126	major histocompatibility complex, class II, DR beta 1
ORPHANET:216729	Congenitally uncorrected transposition of the great arteries with cardiac malformation	ENSEMBL:ENSG00000136698	cripto, FRL-1, cryptic family 1
ORPHANET:882	Tyrosinemia type 1	ENSEMBL:ENSG00000103876	fumarylacetoacetate hydrolase
ORPHANET:216828	Osteogenesis imperfecta type 5	ENSEMBL:ENSG00000206013	interferon induced transmembrane protein 5
ORPHANET:3474	CHIME syndrome	ENSEMBL:ENSG00000108474	phosphatidylinositol glycan anchor biosynthesis class L
ORPHANET:216866	Classic pantothenate kinase-associated neurodegeneration	ENSEMBL:ENSG00000125779	pantothenate kinase 2
ORPHANET:216873	Atypical pantothenate kinase-associated neurodegeneration	ENSEMBL:ENSG00000125779	pantothenate kinase 2
ORPHANET:217012	Spinocerebellar ataxia type 31	ENSEMBL:ENSG00000166546	brain expressed associated with NEDD4 1
ORPHANET:2088	Fanconi-Bickel syndrome	ENSEMBL:ENSG00000163581	solute carrier family 2 member 2
ORPHANET:217031	NON RARE IN EUROPE: Obesity due to MC3R deficiency	ENSEMBL:ENSG00000124089	melanocortin 3 receptor
ORPHANET:217266	BNAR syndrome	ENSEMBL:ENSG00000164946	FRAS1 related extracellular matrix 1
ORPHANET:179	Birdshot chorioretinopathy	ENSEMBL:ENSG00000206503	major histocompatibility complex, class I, A
ORPHANET:217093	Mucopolysaccharidosis type 2, attenuated form	ENSEMBL:ENSG00000010404	iduronate 2-sulfatase
ORPHANET:217085	Mucopolysaccharidosis type 2, severe form	ENSEMBL:ENSG00000010404	iduronate 2-sulfatase
ORPHANET:1451	CINCA syndrome	ENSEMBL:ENSG00000162711	NLR family pyrin domain containing 3
ORPHANET:217059	Isolated congenital digital clubbing	ENSEMBL:ENSG00000164120	15-hydroxyprostaglandin dehydrogenase
ORPHANET:217055	Autosomal recessive intermediate Charcot-Marie-Tooth disease type A	ENSEMBL:ENSG00000104381	ganglioside induced differentiation associated protein 1
ORPHANET:217335	RIN2 syndrome	ENSEMBL:ENSG00000132669	Ras and Rab interactor 2
ORPHANET:2745	Opitz GBBB syndrome	ENSEMBL:ENSG00000101871	midline 1
ORPHANET:217330	REN-related autosomal dominant tubulointerstitial kidney disease	ENSEMBL:ENSG00000143839	renin
ORPHANET:1171	Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome	ENSEMBL:ENSG00000105409	ATPase Na+/K+ transporting subunit alpha 3
ORPHANET:217566	Chronic respiratory distress with surfactant metabolism deficiency	ENSEMBL:ENSG00000168484	surfactant protein C
ORPHANET:217563	Neonatal acute respiratory distress due to SP-B deficiency	ENSEMBL:ENSG00000168878	surfactant protein B
ORPHANET:217407	Hereditary hypotrichosis with recurrent skin vesicles	ENSEMBL:ENSG00000134762	desmocollin 3
ORPHANET:217467	Hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency	ENSEMBL:ENSG00000113905	histidine rich glycoprotein
ORPHANET:217390	Combined immunodeficiency due to DOCK8 deficiency	ENSEMBL:ENSG00000107099	dedicator of cytokinesis 8
ORPHANET:217396	Progressive polyneuropathy with bilateral striatal necrosis	ENSEMBL:ENSG00000125454	solute carrier family 25 member 19
ORPHANET:217371	Acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins	ENSEMBL:ENSG00000100416	tRNA mitochondrial 2-thiouridylase
ORPHANET:217382	Neurodegenerative syndrome due to cerebral folate transport deficiency	ENSEMBL:ENSG00000110195	folate receptor 1
ORPHANET:217377	Microduplication Xp11.22p11.23 syndrome	ENSEMBL:ENSG00000124313	IQ motif and Sec7 domain ArfGEF 2
ORPHANET:217622	Sensorineural deafness with dilated cardiomyopathy	ENSEMBL:ENSG00000112319	EYA transcriptional coactivator and phosphatase 4
ORPHANET:159	Carnitine-acylcarnitine translocase deficiency	ENSEMBL:ENSG00000178537	solute carrier family 25 member 20
ORPHANET:79	Congenital alpha2-antiplasmin deficiency	ENSEMBL:ENSG00000167711	serpin family F member 2
ORPHANET:2157	Histidinemia	ENSEMBL:ENSG00000084110	histidine ammonia-lyase
ORPHANET:3124	Saccharopinuria	ENSEMBL:ENSG00000008311	aminoadipate-semialdehyde synthase
ORPHANET:220407	Limited systemic sclerosis	ENSEMBL:ENSG00000196126	major histocompatibility complex, class II, DR beta 1
ORPHANET:2203	Hyperlysinemia	ENSEMBL:ENSG00000008311	aminoadipate-semialdehyde synthase
ORPHANET:332	Congenital intrinsic factor deficiency	ENSEMBL:ENSG00000134812	cobalamin binding intrinsic factor
ORPHANET:220436	Quebec platelet disorder	ENSEMBL:ENSG00000122861	plasminogen activator, urokinase
ORPHANET:2195	Dicarboxylic aminoaciduria	ENSEMBL:ENSG00000106688	solute carrier family 1 member 1
ORPHANET:220443	Bleeding diathesis due to thromboxane synthesis deficiency	ENSEMBL:ENSG00000006638	thromboxane A2 receptor
ORPHANET:2170	Methylcobalamin deficiency type cblG	ENSEMBL:ENSG00000116984	5-methyltetrahydrofolate-homocysteine methyltransferase
ORPHANET:414	Gyrate atrophy of choroid and retina	ENSEMBL:ENSG00000065154	ornithine aminotransferase
ORPHANET:927	Hyperammonemia due to N-acetylglutamate synthase deficiency	ENSEMBL:ENSG00000161653	N-acetylglutamate synthase
ORPHANET:941	D-glyceric aciduria	ENSEMBL:ENSG00000168237	glycerate kinase
ORPHANET:220465	Laron syndrome with immunodeficiency	ENSEMBL:ENSG00000173757	signal transducer and activator of transcription 5B
ORPHANET:2843	Pentosuria	ENSEMBL:ENSG00000169738	dicarbonyl and L-xylulose reductase
ORPHANET:212	Cystathioninuria	ENSEMBL:ENSG00000116761	cystathionine gamma-lyase
ORPHANET:470	Lysinuric protein intolerance	ENSEMBL:ENSG00000155465	solute carrier family 7 member 7
ORPHANET:1578	Pterin-4 alpha-carbinolamine dehydratase deficiency	ENSEMBL:ENSG00000166228	pterin-4 alpha-carbinolamine dehydratase 1
ORPHANET:221008	Rothmund-Thomson syndrome type 1	ENSEMBL:ENSG00000153107	anaphase promoting complex subunit 1
ORPHANET:24	Fumaric aciduria	ENSEMBL:ENSG00000091483	fumarate hydratase
ORPHANET:221016	Rothmund-Thomson syndrome type 2	ENSEMBL:ENSG00000160957	RecQ like helicase 4
ORPHANET:851	Paris-Trousseau thrombocytopenia	ENSEMBL:ENSG00000151702	Fli-1 proto-oncogene, ETS transcription factor
ORPHANET:221043	Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome	ENSEMBL:ENSG00000189057	FAM111 trypsin like peptidase B
ORPHANET:221046	Poikiloderma with neutropenia	ENSEMBL:ENSG00000103005	U6 snRNA biogenesis phosphodiesterase 1
ORPHANET:745	Severe hereditary thrombophilia due to congenital protein C deficiency	ENSEMBL:ENSG00000115718	protein C, inactivator of coagulation factors Va and VIIIa
ORPHANET:225123	Hemochromatosis type 3	ENSEMBL:ENSG00000106327	transferrin receptor 2
ORPHANET:221126	Fowler vasculopathy	ENSEMBL:ENSG00000119686	FLVCR heme transporter 2
ORPHANET:228003	Severe combined immunodeficiency due to CORO1A deficiency	ENSEMBL:ENSG00000102879	coronin 1A
ORPHANET:228000	Idiopathic CD4 lymphocytopenia	ENSEMBL:ENSG00000109103	unc-119 lipid binding chaperone
ORPHANET:842	Testicular seminomatous germ cell tumor	ENSEMBL:ENSG00000157404	KIT proto-oncogene, receptor tyrosine kinase
ORPHANET:227976	Autosomal recessive optic atrophy, OPA7 type	ENSEMBL:ENSG00000171202	transmembrane protein 126A
ORPHANET:228012	Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome	ENSEMBL:ENSG00000196586	myosin VI
ORPHANET:543	Burkitt lymphoma	ENSEMBL:ENSG00000136997	MYC proto-oncogene, bHLH transcription factor
ORPHANET:227510	Multiple system atrophy, cerebellar type	ENSEMBL:ENSG00000173085	coenzyme Q2, polyprenyltransferase
ORPHANET:419	Hyperprolinemia type 1	ENSEMBL:ENSG00000100033	proline dehydrogenase 1
ORPHANET:226316	Genetic transient congenital hypothyroidism	ENSEMBL:ENSG00000140279	dual oxidase 2
ORPHANET:503	Larsen syndrome	ENSEMBL:ENSG00000136068	filamin B
ORPHANET:228423	Monocytopenia with susceptibility to infections	ENSEMBL:ENSG00000179348	GATA binding protein 2
ORPHANET:228415	5q35 microduplication syndrome	ENSEMBL:ENSG00000165671	nuclear receptor binding SET domain protein 1
ORPHANET:132	Butyrylcholinesterase deficiency	ENSEMBL:ENSG00000114200	butyrylcholinesterase
ORPHANET:228426	Syndromic multisystem autoimmune disease due to Itch deficiency	ENSEMBL:ENSG00000078747	itchy E3 ubiquitin protein ligase
ORPHANET:228387	Spondylo-megaepiphyseal-metaphyseal dysplasia	ENSEMBL:ENSG00000109705	NK3 homeobox 2
ORPHANET:228390	Frontonasal dysplasia-alopecia-genital anomalies syndrome	ENSEMBL:ENSG00000052850	ALX homeobox 4
ORPHANET:228402	2q23.1 microdeletion syndrome	ENSEMBL:ENSG00000204406	methyl-CpG binding domain protein 5
ORPHANET:228366	CLN7 disease	ENSEMBL:ENSG00000164073	major facilitator superfamily domain containing 8
ORPHANET:228363	CLN6 disease	ENSEMBL:ENSG00000128973	CLN6 transmembrane ER protein
ORPHANET:228360	CLN5 disease	ENSEMBL:ENSG00000102805	CLN5 intracellular trafficking protein
ORPHANET:228384	5q14.3 microdeletion syndrome	ENSEMBL:ENSG00000081189	myocyte enhancer factor 2C
ORPHANET:228374	Charcot-Marie-Tooth disease type 2B5	ENSEMBL:ENSG00000277586	neurofilament light chain
ORPHANET:228340	CLN4A disease	ENSEMBL:ENSG00000128973	CLN6 transmembrane ER protein
ORPHANET:228337	CLN10 disease	ENSEMBL:ENSG00000117984	cathepsin D
ORPHANET:228329	CLN1 disease	ENSEMBL:ENSG00000131238	palmitoyl-protein thioesterase 1
ORPHANET:228354	CLN8 disease	ENSEMBL:ENSG00000182372	CLN8 transmembrane ER and ERGIC protein
ORPHANET:228349	CLN2 disease	ENSEMBL:ENSG00000166340	tripeptidyl peptidase 1
ORPHANET:228346	CLN3 disease	ENSEMBL:ENSG00000188603	CLN3 lysosomal/endosomal transmembrane protein, battenin
ORPHANET:228343	CLN4B disease	ENSEMBL:ENSG00000101152	DnaJ heat shock protein family (Hsp40) member C5
ORPHANET:228302	Carnitine palmitoyl transferase II deficiency, myopathic form	ENSEMBL:ENSG00000157184	carnitine palmitoyltransferase 2
ORPHANET:228305	Carnitine palmitoyl transferase II deficiency, severe infantile form	ENSEMBL:ENSG00000157184	carnitine palmitoyltransferase 2
ORPHANET:228308	Carnitine palmitoyl transferase II deficiency, neonatal form	ENSEMBL:ENSG00000157184	carnitine palmitoyltransferase 2
ORPHANET:3203	Overhydrated hereditary stomatocytosis	ENSEMBL:ENSG00000112077	Rh associated glycoprotein
ORPHANET:328	Congenital factor X deficiency	ENSEMBL:ENSG00000126218	coagulation factor X
ORPHANET:228174	Autosomal dominant Charcot-Marie-Tooth disease type 2N	ENSEMBL:ENSG00000090861	alanyl-tRNA synthetase 1
ORPHANET:228169	Autosomal dominant striatal neurodegeneration	ENSEMBL:ENSG00000113231	phosphodiesterase 8B
ORPHANET:2132	Hemoglobin C disease	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:2133	Hemoglobin E disease	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:228179	Autosomal dominant Charcot-Marie-Tooth disease type 2M	ENSEMBL:ENSG00000079805	dynamin 2
ORPHANET:751	NON RARE IN EUROPE: Pseudoarylsulfatase A deficiency	ENSEMBL:ENSG00000100299	arylsulfatase A
ORPHANET:231401	Alpha-thalassemia-myelodysplastic syndrome	ENSEMBL:ENSG00000085224	ATRX chromatin remodeler
ORPHANET:231393	Beta-thalassemia-X-linked thrombocytopenia syndrome	ENSEMBL:ENSG00000102145	GATA binding protein 1
ORPHANET:1309	Medullary sponge kidney	ENSEMBL:ENSG00000275410	HNF1 homeobox B
ORPHANET:231249	Hemoglobin E-beta-thalassemia syndrome	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:231242	Hemoglobin C-beta-thalassemia syndrome	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:2197	Idiopathic hypercalciuria	ENSEMBL:ENSG00000143199	adenylate cyclase 10
ORPHANET:231226	Dominant beta-thalassemia	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:231222	Beta-thalassemia intermedia	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:231214	Beta-thalassemia major	ENSEMBL:ENSG00000244734	hemoglobin subunit beta
ORPHANET:2841	Familial benign chronic pemphigus	ENSEMBL:ENSG00000017260	ATPase secretory pathway Ca2+ transporting 1
ORPHANET:347	Frasier syndrome	ENSEMBL:ENSG00000184937	WT1 transcription factor
ORPHANET:231154	Combined immunodeficiency due to partial RAG1 deficiency	ENSEMBL:ENSG00000166349	recombination activating 1
ORPHANET:2596	Myopathy and diabetes mellitus	ENSEMBL:ENSG00000210194	mitochondrially encoded tRNA-Glu (GAA/G)
ORPHANET:2966	Properdin deficiency	ENSEMBL:ENSG00000126759	complement factor properdin
ORPHANET:231120	Beckwith-Wiedemann syndrome due to CDKN1C mutation	ENSEMBL:ENSG00000129757	cyclin dependent kinase inhibitor 1C
ORPHANET:231127	Beckwith-Wiedemann syndrome due to 11p15 microdeletion	ENSEMBL:ENSG00000130600	H19 imprinted maternally expressed transcript
ORPHANET:231040	Familial generalized lentiginosis	ENSEMBL:ENSG00000111961	SAM and SH3 domain containing 1
ORPHANET:230851	Cardiac-valvular Ehlers-Danlos syndrome	ENSEMBL:ENSG00000164692	collagen type I alpha 2 chain
ORPHANET:82	Hereditary thrombophilia due to congenital antithrombin deficiency	ENSEMBL:ENSG00000117601	serpin family C member 1
ORPHANET:230839	Classical-like Ehlers-Danlos syndrome type 1	ENSEMBL:ENSG00000168477	tenascin XB
ORPHANET:238269	AApoAII amyloidosis	ENSEMBL:ENSG00000158874	apolipoprotein A2
ORPHANET:238446	15q11q13 microduplication syndrome	ENSEMBL:ENSG00000114062	ubiquitin protein ligase E3A
ORPHANET:238329	Severe X-linked mitochondrial encephalomyopathy	ENSEMBL:ENSG00000156709	apoptosis inducing factor mitochondria associated 1
ORPHANET:231568	Autosomal dominant generalized dystrophic epidermolysis bullosa	ENSEMBL:ENSG00000114270	collagen type VII alpha 1 chain
ORPHANET:1900	Kyphoscoliotic Ehlers-Danlos syndrome due to lysyl hydroxylase 1 deficiency	ENSEMBL:ENSG00000083444	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
ORPHANET:286	Vascular Ehlers-Danlos syndrome	ENSEMBL:ENSG00000168542	collagen type III alpha 1 chain
ORPHANET:257	Epidermolysis bullosa simplex with muscular dystrophy	ENSEMBL:ENSG00000178209	plectin
ORPHANET:231720	Non-acquired combined pituitary hormone deficiency-sensorineural hearing loss-spine abnormalities syndrome	ENSEMBL:ENSG00000107187	LIM homeobox 3
ORPHANET:839	Congenital nephrotic syndrome, Finnish type	ENSEMBL:ENSG00000161270	NPHS1 adhesion molecule, nephrin
ORPHANET:452	X-linked lissencephaly with abnormal genitalia	ENSEMBL:ENSG00000004848	aristaless related homeobox
ORPHANET:238763	Glaucoma secondary to spherophakia/ectopia lentis and megalocornea	ENSEMBL:ENSG00000119681	latent transforming growth factor beta binding protein 2
ORPHANET:238769	1q44 microdeletion syndrome	ENSEMBL:ENSG00000153187	heterogeneous nuclear ribonucleoprotein U
ORPHANET:238505	Combined immunodeficiency due to CD27 deficiency	ENSEMBL:ENSG00000139193	CD27 molecule
ORPHANET:238455	Infantile dystonia-parkinsonism	ENSEMBL:ENSG00000142319	solute carrier family 6 member 3
ORPHANET:238459	SLC35A1-CDG	ENSEMBL:ENSG00000164414	solute carrier family 35 member A1
ORPHANET:238578	Familial clubfoot due to 17q23.1q23.2 microduplication	ENSEMBL:ENSG00000121075	T-box transcription factor 4
ORPHANET:238557	Chuvash erythrocytosis	ENSEMBL:ENSG00000134086	von Hippel-Lindau tumor suppressor
ORPHANET:238613	Beckwith-Wiedemann syndrome due to NSD1 mutation	ENSEMBL:ENSG00000165671	nuclear receptor binding SET domain protein 1
ORPHANET:238670	Isolated thyrotropin-releasing hormone deficiency	ENSEMBL:ENSG00000170893	thyrotropin releasing hormone
ORPHANET:240071	Classic progressive supranuclear palsy syndrome	ENSEMBL:ENSG00000186868	microtubule associated protein tau
ORPHANET:240112	Progressive supranuclear palsy-progressive non-fluent aphasia syndrome	ENSEMBL:ENSG00000186868	microtubule associated protein tau
ORPHANET:240103	Progressive supranuclear palsy-corticobasal syndrome	ENSEMBL:ENSG00000186868	microtubule associated protein tau
ORPHANET:240094	Progressive supranuclear palsy-pure akinesia with gait freezing syndrome	ENSEMBL:ENSG00000186868	microtubule associated protein tau
ORPHANET:240085	Progressive supranuclear palsy-parkinsonism syndrome	ENSEMBL:ENSG00000186868	microtubule associated protein tau
ORPHANET:331226	Susceptibility to infection due to TYK2 deficiency	ENSEMBL:ENSG00000105397	tyrosine kinase 2
ORPHANET:331176	Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	ENSEMBL:ENSG00000141349	glucose-6-phosphatase catalytic subunit 3
ORPHANET:331187	Immunodeficiency due to MASP-2 deficiency	ENSEMBL:ENSG00000009724	MBL associated serine protease 2
ORPHANET:331190	Immunodeficiency due to ficolin3 deficiency	ENSEMBL:ENSG00000142748	ficolin 3
ORPHANET:330050	DNM1L-related encephalopathy due to mitochondrial and peroxisomal fission defect	ENSEMBL:ENSG00000087470	dynamin 1 like
ORPHANET:330054	Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome	ENSEMBL:ENSG00000127554	growth factor, augmenter of liver regeneration
ORPHANET:329802	5p13 microduplication syndrome	ENSEMBL:ENSG00000164190	NIPBL cohesin loading factor
ORPHANET:329475	Spastic paraplegia-Paget disease of bone syndrome	ENSEMBL:ENSG00000165280	valosin containing protein
ORPHANET:329481	Lipoprotein glomerulopathy	ENSEMBL:ENSG00000130203	apolipoprotein E
ORPHANET:329478	Adult-onset distal myopathy due to VCP mutation	ENSEMBL:ENSG00000165280	valosin containing protein
ORPHANET:329308	Fatty acid hydroxylase-associated neurodegeneration	ENSEMBL:ENSG00000103089	fatty acid 2-hydroxylase
ORPHANET:329314	Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency	ENSEMBL:ENSG00000114956	deoxyguanosine kinase
ORPHANET:329319	Thrombocythemia with distal limb defects	ENSEMBL:ENSG00000090534	thrombopoietin
ORPHANET:329284	Beta-propeller protein-associated neurodegeneration	ENSEMBL:ENSG00000196998	WD repeat domain 45
ORPHANET:329457	Distal arthrogryposis type 5D	ENSEMBL:ENSG00000171551	endothelin converting enzyme like 1
ORPHANET:329466	Autosomal dominant focal dystonia, DYT25 type	ENSEMBL:ENSG00000141404	G protein subunit alpha L
ORPHANET:329228	Microcephalic primordial dwarfism due to ZNF335 deficiency	ENSEMBL:ENSG00000198026	zinc finger protein 335
ORPHANET:329224	Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome	ENSEMBL:ENSG00000175115	phosphofurin acidic cluster sorting protein 1
ORPHANET:329211	Autosomal dominant neovascular inflammatory vitreoretinopathy	ENSEMBL:ENSG00000149260	calpain 5
ORPHANET:329195	Developmental delay with autism spectrum disorder and gait instability	ENSEMBL:ENSG00000128731	HECT and RLD domain containing E3 ubiquitin protein ligase 2
ORPHANET:329191	Tall stature-long halluces-multiple extra-epiphyses syndrome	ENSEMBL:ENSG00000159899	natriuretic peptide receptor 2
ORPHANET:329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	ENSEMBL:ENSG00000136908	dolichyl-phosphate mannosyltransferase subunit 2, regulatory
ORPHANET:329258	Autosomal dominant Charcot-Marie-Tooth disease type 2Q	ENSEMBL:ENSG00000181192	dehydrogenase E1 and transketolase domain containing 1
ORPHANET:329249	Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency	ENSEMBL:ENSG00000178188	SH2B adaptor protein 1
ORPHANET:329235	X-linked central congenital hypothyroidism with late-onset testicular enlargement	ENSEMBL:ENSG00000147255	immunoglobulin superfamily member 1
ORPHANET:329	Congenital factor XI deficiency	ENSEMBL:ENSG00000088926	coagulation factor XI
ORPHANET:1243	Best vitelliform macular dystrophy	ENSEMBL:ENSG00000167995	bestrophin 1
ORPHANET:325524	Classic congenital lipoid adrenal hyperplasia due to STAR deficency	ENSEMBL:ENSG00000147465	steroidogenic acute regulatory protein
ORPHANET:325448	Leydig cell hypoplasia due to LHB deficiency	ENSEMBL:ENSG00000104826	luteinizing hormone subunit beta
ORPHANET:325529	Non-classic congenital lipoid adrenal hyperplasia due to STAR deficency	ENSEMBL:ENSG00000147465	steroidogenic acute regulatory protein
ORPHANET:324977	Proteasome-associated autoinflammatory syndrome	ENSEMBL:ENSG00000204264	proteasome 20S subunit beta 8
ORPHANET:324718	ABetaA21G amyloidosis	ENSEMBL:ENSG00000142192	amyloid beta precursor protein
ORPHANET:324713	ABeta amyloidosis, Italian type	ENSEMBL:ENSG00000142192	amyloid beta precursor protein
ORPHANET:324737	SRD5A3-CDG	ENSEMBL:ENSG00000128039	steroid 5 alpha-reductase 3
ORPHANET:324723	ABeta amyloidosis, Arctic type	ENSEMBL:ENSG00000142192	amyloid beta precursor protein
ORPHANET:324708	ABeta amyloidosis, Iowa type	ENSEMBL:ENSG00000142192	amyloid beta precursor protein
ORPHANET:324703	ABetaL34V amyloidosis	ENSEMBL:ENSG00000142192	amyloid beta precursor protein
ORPHANET:324611	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation	ENSEMBL:ENSG00000155980	kinesin family member 5A
ORPHANET:324588	Familial dyskinesia and facial myokymia	ENSEMBL:ENSG00000173175	adenylate cyclase 5
ORPHANET:324601	X-linked cleft palate and ankyloglossia	ENSEMBL:ENSG00000122145	T-box transcription factor 22
ORPHANET:324581	Benign Samaritan congenital myopathy	ENSEMBL:ENSG00000196218	ryanodine receptor 1
ORPHANET:324585	Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain	ENSEMBL:ENSG00000158887	myelin protein zero
ORPHANET:324569	Pontocerebellar hypoplasia type 8	ENSEMBL:ENSG00000131165	charged multivesicular body protein 1A
ORPHANET:324575	Hyperinsulinism due to HNF1A deficiency	ENSEMBL:ENSG00000135100	HNF1 homeobox A
ORPHANET:324561	Hypopigmentation-punctate palmoplantar keratoderma syndrome	ENSEMBL:ENSG00000197594	ectonucleotide pyrophosphatase/phosphodiesterase 1
ORPHANET:324530	Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation	ENSEMBL:ENSG00000197943	phospholipase C gamma 2
ORPHANET:324535	Combined oxidative phosphorylation defect type 11	ENSEMBL:ENSG00000155906	required for meiotic nuclear division 1 homolog
ORPHANET:324525	Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation	ENSEMBL:ENSG00000209082	mitochondrially encoded tRNA-Leu (UUA/G) 1
ORPHANET:324442	Autosomal recessive axonal neuropathy with neuromyotonia	ENSEMBL:ENSG00000169567	histidine triad nucleotide binding protein 1
ORPHANET:324422	ALG13-CDG	ENSEMBL:ENSG00000101901	ALG13 UDP-N-acetylglucosaminyltransferase subunit
ORPHANET:324410	X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome	ENSEMBL:ENSG00000155962	chloride intracellular channel 2
ORPHANET:324321	Sinoatrial node dysfunction and deafness	ENSEMBL:ENSG00000157388	calcium voltage-gated channel subunit alpha1 D
ORPHANET:324299	Multiple paragangliomas associated with polycythemia	ENSEMBL:ENSG00000116016	endothelial PAS domain protein 1
ORPHANET:324294	T-cell immunodeficiency with epidermodysplasia verruciformis	ENSEMBL:ENSG00000168421	ras homolog family member H
ORPHANET:324290	Early-onset Lafora body disease	ENSEMBL:ENSG00000152784	PR/SET domain 8
ORPHANET:324262	Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency	ENSEMBL:ENSG00000152822	glutamate metabotropic receptor 1
ORPHANET:319691	NON RARE IN EUROPE: Partial color blindness, protan type	ENSEMBL:ENSG00000102076	opsin 1, long wave sensitive
ORPHANET:319698	NON RARE IN EUROPE: Partial color blindness, deutan type	ENSEMBL:ENSG00000268221	opsin 1, medium wave sensitive
ORPHANET:319705	NON RARE IN EUROPE: Parkinson disease	ENSEMBL:ENSG00000177628	glucosylceramidase beta 1
ORPHANET:320360	MT-ATP6-related mitochondrial spastic paraplegia	ENSEMBL:ENSG00000198899	mitochondrially encoded ATP synthase membrane subunit 6
ORPHANET:320370	Autosomal recessive spastic paraplegia type 43	ENSEMBL:ENSG00000131943	chromosome 19 open reading frame 12
ORPHANET:320380	Autosomal recessive spastic paraplegia type 54	ENSEMBL:ENSG00000085788	DDHD domain containing 2
ORPHANET:320375	Autosomal recessive spastic paraplegia type 55	ENSEMBL:ENSG00000130921	mitochondrial translation release factor in rescue
ORPHANET:320391	Autosomal recessive spastic paraplegia type 46	ENSEMBL:ENSG00000070610	glucosylceramidase beta 2
ORPHANET:320385	Hereditary sensory and autonomic neuropathy due to TECPR2 mutation	ENSEMBL:ENSG00000196663	tectonin beta-propeller repeat containing 2
ORPHANET:320401	Autosomal recessive spastic paraplegia type 44	ENSEMBL:ENSG00000198835	gap junction protein gamma 2
